,,cv_mean,in_sample_mae,in_sample_mape,out_of_sample_mae,out_of_sample_mape,out_of_sample_rsme,out_of_sample_r2
default parameter,Decision Tree,0.2574818248469731,1183.4177746675998,0.8853660500732651,62751.3393939394,29.142285189604394,141978.30476614166,0.9036091697288842
default parameter,Random Forest,0.6743141261934201,27944.53367146757,10.142562731617687,52074.517989650616,22.372503122951823,168480.15102480972,0.8642658165343284
default parameter,Gradient Boosting,0.5838923562345217,65032.577149982215,42.79345786299655,69481.11094788322,37.85449824053131,160870.85875147252,0.8762496292558507
optimized parameter,Decision Tree,0.3472911447301481,57226.60910841435,23.70222264987257,63003.0767160277,27.69456688714501,184273.5139447852,0.8376255909357715
optimized parameter,Random Forest,0.6743141261934201,27944.53367146757,10.142562731617687,52074.517989650616,22.372503122951823,168480.15102480972,0.8642658165343284
optimized parameter,Gradient Boosting,0.6629670551422598,27734.862003671842,16.77330098650332,50135.63037796571,21.489931912751548,155735.11735423843,0.8840248728460949
reduced features,Decision Tree,0.455559390196896,66838.37219162325,30.18442534907031,83263.6942787349,40.62673863496049,194091.0945074801,0.8198629830526631
reduced features,Random Forest,0.5293150534961024,38012.96797827132,17.675365939918816,77991.79584635353,38.08815057826331,205416.3724165658,0.7982275537500795
reduced features,Gradient Boosting,0.38301033637613624,34595.63806564644,24.222078453217836,80999.1609592569,39.045749911222224,243370.4774801089,0.7167776403563632
without outliers,Decision Tree,0.6978642571982007,28925.10363067824,17.523933363265513,44857.21810857153,28.540450951555346,79837.92943072662,0.6793074802530659
without outliers,Random Forest,0.8032428252210453,14040.775903269907,8.574869386191958,37749.451487580634,23.840702452006347,66352.96857981289,0.7784911843906857
without outliers,Gradient Boosting,0.8034075740922079,20300.216502353618,13.025964249532326,35757.80335373511,22.47341671515327,61493.13051965339,0.8097505081639487
